,open,high,low,close,adjusted_close,volume,dividend_amount
2009-10-30,3.1460,3.2180,2.9550,3.0070,1.2562,202044042,0.0000
2009-11-30,3.0010,3.1300,2.9700,3.0540,1.2758,115905881,0.0000
2009-12-31,3.0780,3.1500,3.0320,3.1080,1.2984,111951651,0.0000
2010-01-29,3.0960,3.1850,2.8580,2.8710,1.1994,154287345,0.0000
2010-02-26,2.8770,2.8790,2.6350,2.6950,1.1259,240241530,0.0000
2010-03-31,2.7010,2.9900,2.7010,2.9430,1.2295,227653699,0.0000
2010-04-30,2.9530,3.0540,2.4740,2.6890,1.1234,205015784,0.0000
2010-05-31,2.7080,2.8700,2.4750,2.5160,1.1178,319183501,0.1515
2010-06-30,2.5150,2.6420,2.4160,2.4400,1.0841,295253534,0.0000
2010-07-30,2.4260,2.5500,2.4030,2.5230,1.1209,145628777,0.0000
2010-08-31,2.5160,2.5690,2.3760,2.4000,1.0663,145257774,0.0000
2010-09-30,2.4050,2.6140,2.3890,2.5140,1.1169,214871261,0.0000
2010-10-29,2.5100,2.7490,2.4720,2.7490,1.2214,160670795,0.0000
2010-11-30,2.7500,2.7750,2.4210,2.4640,1.0947,194430836,0.0000
2010-12-31,2.4800,2.7160,2.4460,2.4910,1.1067,119582856,0.0000
2011-01-31,2.5000,2.8670,2.4700,2.8060,1.2467,148450816,0.0000
2011-02-28,2.8050,2.9200,2.7170,2.7480,1.2209,113469173,0.0000
2011-03-31,2.7530,2.8260,2.6600,2.7480,1.2209,196095188,0.0000
2011-04-29,2.7500,2.8370,2.7300,2.7600,1.2262,95303493,0.0000
2011-05-31,2.7730,2.8000,2.5350,2.5850,1.2249,184549006,0.1661
2011-06-30,2.5820,2.6050,2.3570,2.4490,1.1605,102384598,0.0000
2011-07-29,2.4660,2.5560,2.1700,2.4200,1.1467,150660208,0.0000
2011-08-31,2.4150,2.4450,1.9840,2.2900,1.0851,188757562,0.0000
2011-09-30,2.2980,2.4750,2.0830,2.3150,1.0970,200460480,0.0000
2011-10-31,2.2860,2.5370,2.2350,2.2850,1.0828,121284019,0.0000
2011-11-30,2.2500,2.3800,2.1700,2.3800,1.1278,123077895,0.0000
2011-12-30,2.3680,2.5180,2.2420,2.3910,1.1330,127775624,0.0000
2012-01-31,2.4130,2.4840,2.1610,2.2310,1.0572,129543715,0.0000
2012-02-29,2.2420,2.2980,2.1500,2.1900,1.0378,130157130,0.0000
2012-03-30,2.1900,2.3060,2.0500,2.1810,1.0335,135800717,0.0000
2012-04-30,2.1950,2.1950,2.0400,2.1600,1.0235,88022927,0.0000
2012-05-31,2.1990,2.2970,1.6280,1.6800,0.8667,176322731,0.1808
2012-06-29,1.6690,1.8780,1.6500,1.8640,0.9617,155570178,0.0000
2012-07-31,1.8780,2.0000,1.7520,1.8540,0.9565,101461393,0.0000
2012-08-31,1.8480,2.0540,1.8100,1.9380,0.9998,79838176,0.0000
2012-09-28,1.9420,2.3150,1.9400,2.1420,1.1051,118591760,0.0000
2012-10-31,2.1400,2.1890,2.0590,2.0960,1.0813,102728000,0.0000
2012-11-30,2.1030,2.1030,1.9010,1.9460,1.0040,95014429,0.0000
